ID,Lesson,Student,KC,item,right,firstattempt,time
33,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,5.719
34,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,4.937
35,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,2.016
36,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,5.219
37,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,2.359
38,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,12.141
39,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,5.937
40,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,5.578
41,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,8
42,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-1,0,0,12
43,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-ARBITRARY-WBC-1,1,1,35.375
44,Splot,AGUFADE,VALUING-SCALE,MMS-VALUING-DETERMINE-SCALE-ARBITRARY-WBC-2,0,1,2.266
45,Splot,AGUFADE,MMS-VALUING-DETERMINE-LABELSUSED,MMS-VALUING-DETERMINE-LABELSUSED-1,0,1,12.25
46,Splot,AGUFADE,MMS-VALUING-DETERMINE-LABELSUSED,MMS-VALUING-LABELSUSED-1,1,1,10.657
47,Splot,AGUFADE,MMS-VALUING-DETERMINE-LABELSUSED-PLUS,MMS-VALUING-LABELSUSED-PLUS2-1,1,1,6.968
48,Splot,AGUFADE,DETERMINE-MIN,META-DETERMINE-MIN-1,0,1,3.547
49,Splot,AGUFADE,DETERMINE-MIN,MMS-VALUING-DETERMINE-MIN-RECMIN-1,0,1,7.985
50,Splot,AGUFADE,DETERMINE-MIN,MMS-VALUING-DETERMINE-MIN-RECMIN-1,0,0,5.422
51,Splot,AGUFADE,DETERMINE-MIN,MMS-VALUING-DETERMINE-MIN-RECMIN-1,0,0,3.36
52,Splot,AGUFADE,DETERMINE-MIN,MMS-VALUING-DETERMINE-MIN-RECMIN-1,0,0,10.015
53,Splot,AGUFADE,DETERMINE-MIN,MMS-VALUING-DETERMINE-MIN-1,1,1,12.719
54,Splot,AGUFADE,SETMAX,META-DETERMINE-SETMAX-2,0,1,1.984
55,Splot,AGUFADE,SETMAX,META-DETERMINE-SETMAX-2,0,0,16.328
56,Splot,AGUFADE,SETMAX,MMS-VALUING-DETERMINE-SET-MAX-1,1,1,8.969
57,Splot,AGUFADE,SETMIN,META-DETERMINE-SETMIN-2,1,1,2.656
58,Splot,AGUFADE,DETERMINE-RANGE,META-DETERMINE-RANGE-2,1,1,4.625
59,Splot,AGUFADE,VALUING-SCALE,META-VALUING-SCALE-1,1,1,11.766
60,Splot,AGUFADE,MMS-VALUING-DETERMINE-LABELSUSED,MMS-VALUING-LABELSUSED-2,1,1,6.265
61,Splot,AGUFADE,MMS-VALUING-DETERMINE-LABELSUSED,MMS-VALUING-LABELSUSED-3,0,1,3.938
62,Splot,AGUFADE,MMS-VALUING-DETERMINE-LABELSUSED-PLUS,MMS-VALUING-LABELSUSED-PLUS2-2,1,1,10.047
63,Splot,AGUFADE,DETERMINE-MIN,META-DETERMINE-MIN-1,1,0,3.39
64,Splot,AGUFADE,QUANTITATIVE-VALUING-FIRST-BIN,META-QUANTITATIVE-VALUING-FIRST-BIN-1,1,1,3.907
65,Splot,AGUFADE,QUANTITATIVE-VALUING-SECOND-BIN,META-QUANTITATIVE-VALUING-SECOND-BIN-1,1,1,2.125
66,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-1,1,1,1.843
67,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-2,1,1,2.454
68,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-3,1,1,2.25
69,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-4,1,1,2.078
70,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-5,1,1,2.218
71,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-6,1,1,1.875
72,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-7,1,1,2
73,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-8,1,1,2.407
74,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-9,1,1,2.047
75,Splot,AGUFADE,QUANTITATIVE-VALUING-FIRST-BIN,META-QUANTITATIVE-VALUING-FIRST-BIN-2,1,1,2.046
76,Splot,AGUFADE,QUANTITATIVE-VALUING-SECOND-BIN,META-QUANTITATIVE-VALUING-SECOND-BIN-2,1,1,2.907
77,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-10,1,1,3
78,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-11,1,1,2.531
79,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-12,1,1,2.266
80,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-13,1,1,2.578
81,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-14,1,1,2.109
82,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-15,1,1,6.453
83,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-16,1,1,5.094
84,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-17,1,1,8.484
85,Splot,AGUFADE,QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN,META-QUANTITATIVE-VALUING-DETERMINE-ARBITRARY-SCALEKNOWN-18,1,1,6.735
86,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,1,1.453
87,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.89
88,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.36
89,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.25
90,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.234
91,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.235
92,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.265
93,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.375
94,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.235
95,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.25
96,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.171
97,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.188
98,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.281
99,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.172
100,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.359
101,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.219
102,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.188
103,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.203
104,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.219
105,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.203
106,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,20.672
107,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.437
108,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.438
109,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.281
110,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.234
111,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.188
112,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.234
113,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.203
114,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.25
115,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.219
116,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.453
117,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.391
118,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.218
119,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.219
120,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.203
121,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.235
122,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.187
123,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.172
124,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.203
125,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.25
126,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.172
127,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.203
128,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.188
129,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.187
130,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.188
131,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.187
132,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.188
133,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.187
134,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.172
135,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.203
136,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.188
137,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.172
138,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.187
139,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.188
140,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.203
141,Splot,AGUFADE,PLOT-FIRST-POINT,META-PLOT-FIRST-POINT-1,0,0,0.172
142,Splot,AGUFADE,FOCUS-PLOT-FIRST-POINT,FOCUS-PLOT-FIRST-POINT-1,1,1,0.187
143,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-1,1,1,0.172
144,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,1,0.203
145,Splot,AGUFADE,CHECK-POINTS,CHECK-POINTS-NOTYET-1,1,1,0.234
146,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.125
147,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.204
148,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.218
149,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.172
150,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.203
151,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.172
152,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.172
153,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.188
154,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.187
155,Splot,AGUFADE,CHECK-POINTS,CHECK-POINTS-NOTYET-2,1,1,0.203
156,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.203
157,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.172
158,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.188
159,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.234
160,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.172
161,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.234
162,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.188
163,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.172
164,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.14
165,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.219
166,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.203
167,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.203
168,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.172
169,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.188
170,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.203
171,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.219
172,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.265
173,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.125
174,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.203
175,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.157
176,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.234
177,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.281
178,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.11
179,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.187
180,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.188
181,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.234
182,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.172
183,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.234
184,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.188
185,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.172
186,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.187
187,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.234
188,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.157
189,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.218
190,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.141
191,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.234
192,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.204
193,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.187
194,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.172
195,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.203
196,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.188
197,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.39
198,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.188
199,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,32.14
200,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,2.25
201,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.907
202,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.218
203,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.157
204,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,0.562
205,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,6.188
206,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,8.734
207,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,25.422
208,Splot,AGUFADE,PLOT-POINT,META-PLOT-POINT-2,0,0,2.109
209,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,1,3.703
210,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,7.422
211,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.187
212,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.422
213,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.172
214,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.188
215,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.234
216,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.203
217,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.219
218,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.219
219,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.203
220,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.203
221,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.203
222,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.203
223,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.188
224,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.218
225,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.188
226,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.172
227,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.203
228,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.187
229,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.188
230,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.187
231,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.219
232,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.281
233,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.25
234,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.203
235,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.235
236,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.203
237,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.203
238,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.203
239,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.172
240,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.219
241,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.172
242,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.187
243,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.203
244,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.157
245,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.203
246,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.218
247,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.172
248,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,0.188
249,Splot,AGUFADE,FOCUS-PLOT-POINT,FOCUS-PLOT-POINT-1,0,0,1.781
250,Splot,AOADMAC,VALUING-CAT-FEATURES,META-VALUING-CAT-FEATURES-1,1,1,8
